Text,Label,Unique_Label
Excuse me.,6,0
Do you have your forms?,6,1
Yeah.,6,2
Let me see them.,6,3
Is there a problem?,6,4
Who told you to get in this line?,5,5
You did.,6,6
You were standing at the beginning and you directed me.,3,7
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,6,8
Well what's the problem?  Let me change it.,6,9
This form is a Z.X.four.,6,10
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",6,11
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,5,12
No. I need another set of ID to prove this is actually you.,6,13
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,5,14
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,6,15
I'm here to get an ID.,6,16
"No.  I need another ID, a separate one.",6,17
Like what?  Like a birth certificate?,6,18
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",5,19
Who the hell has a birth certificate?,5,20
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",0,21
"Yeah.  We keep it on file, but we need an ID to access that file.",6,22
That's out of control.,3,23
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,5,24
How long have you been working here?,6,25
Actually too long.,6,26
"Clearly.  You know, do you have like a supervisor or something?",6,27
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,6,28
That would - I would appreciate that.  Yeah.,6,29
Did you get the mail? So you saw my letter?,5,30
It's not fair.,3,31
Yeah.  I know.,6,32
"I don't understand.  You've already done so much, I don't know why do you have to go back.",5,33
I don't know.  I put in that. request too. They didn't...,5,34
"I guess, you know, everybody has to make sacrifices.",6,35
"I don't know, it's just not fair.  I think you've already made your sacrifice.",6,36
"There's people that have given more though, you know?",6,37
I just don't see how they can make you leave when you have a new baby - we have a new kid.,5,38
I know.,6,39
Then why is that fair?  Why--,5,40
"There's babies over there, though, that need mothers.",6,41
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,5,42
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",0,43
I'm just trying to think of another way.  I'm just trying to...,6,44
"Just, you know, kicking myself.",3,45
like you sign up because you need money and,6,46
things just aren't what they seem.,6,47
This is a stupid war.,3,48
"We're doing the right thing, though.",6,49
I know.,6,39
I just don't see why it has to be you.,5,50
"If not me then, who?",5,51
What am I going to do? Huh?,5,52
"You'll videotape everything, yeah?",6,53
Yeah.,6,2
"Maybe you can send it to me, like stream it, yeah?",6,54
Don't you guys have access to computers over there.,3,55
Last month--  Yeah.,6,56
I just don't know how I'm going to do it without you.,5,57
I have to find sitters.,6,58
I can't raise a baby by myself.  How?,5,59
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",6,60
I know.,6,39
And your mother is close by.,1,61
I'll send you lots of letters.,6,62
And I want lots and lots and lots of pictures.,6,63
It's just not fair.,3,64
So what's up?  What's new?,5,65
Well Vegas was awesome.,1,66
Yeah.  I heard.,5,67
"And, um, I got married.",1,68
Shut up.  No- in Vegas?,3,69
Yeah.  In the old town part.,6,70
Who did you marry?,6,71
Chuck. [LAUGHTER],6,72
Did you propose to you?,5,73
Um- Yes.  It was very romantic.,1,74
It was at the slot machines.,6,75
Oh.  The Wheel of Fortune slots?,5,76
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",6,77
He turned to you and was like...,5,78
Hey.  Let's get married and I said okay.,1,79
[LAUGHTER] That's really romantic.,6,80
"Yeah.  Well.  You know, because he's leaving the next day.",6,81
Yeah.,6,2
But we're going to have a honeymoon cruise.,1,82
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",6,83
Oh.  I hadn't even thought about that.,5,84
Yeah.  Think about that.,6,85
"He's not going to be a citizen, though.",6,86
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,6,87
Oh.  Totally.,5,88
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",6,89
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],6,90
Like you need another one of those.[LAUGHTER],6,91
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,6,92
Is that your phone?,5,93
"Yeah, so [LAUGHTER] He's calling me now",6,94
He loves you.,1,95
