Text,Label,corrected_label,emotion
Excuse me.,6,3,anger
Do you have your forms?,5,6,sadness
Yeah.,6,6,sadness
Let me see them.,6,6,sadness
Is there a problem?,5,6,sadness
Who told you to get in this line?,5,5,neutral
You did.,6,6,sadness
You were standing at the beginning and you directed me.,6,3,anger
Okay. But I didn't tell you to get in this line if you are filling out this particular form.,6,6,sadness
Well what's the problem?  Let me change it.,5,6,sadness
This form is a Z.X.four.,6,6,sadness
"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",6,6,sadness
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,5,5,neutral
No. I need another set of ID to prove this is actually you.,6,6,sadness
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,5,5,neutral
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,6,6,sadness
I'm here to get an ID.,6,6,sadness
"No.  I need another ID, a separate one.",6,6,sadness
Like what?  Like a birth certificate?,5,6,sadness
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",5,5,neutral
Who the hell has a birth certificate?,5,5,neutral
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",5,0,surprise
"Yeah.  We keep it on file, but we need an ID to access that file.",6,6,sadness
That's out of control.,6,3,anger
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,6,5,neutral
How long have you been working here?,5,6,sadness
Actually too long.,6,6,sadness
"Clearly.  You know, do you have like a supervisor or something?",5,6,sadness
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,5,6,sadness
That would - I would appreciate that.  Yeah.,6,6,sadness
Did you get the mail? So you saw my letter?,5,5,neutral
It's not fair.,6,3,anger
Yeah.  I know.,6,6,sadness
"I don't understand.  You've already done so much, I don't know why do you have to go back.",6,5,neutral
I don't know.  I put in that. request too. They didn't...,6,5,neutral
"I guess, you know, everybody has to make sacrifices.",6,6,sadness
"I don't know, it's just not fair.  I think you've already made your sacrifice.",3,6,sadness
"There's people that have given more though, you know?",5,6,sadness
I just don't see how they can make you leave when you have a new baby - we have a new kid.,6,5,neutral
I know.,6,6,sadness
Then why is that fair?  Why--,5,5,neutral
"There's babies over there, though, that need mothers.",6,6,sadness
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,5,5,neutral
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",0,0,surprise
I'm just trying to think of another way.  I'm just trying to...,6,6,sadness
"Just, you know, kicking myself.",6,3,anger
like you sign up because you need money and,6,6,sadness
things just aren't what they seem.,6,6,sadness
This is a stupid war.,6,3,anger
"We're doing the right thing, though.",6,6,sadness
I just don't see why it has to be you.,6,5,neutral
"If not me then, who?",5,5,neutral
What am I going to do? Huh?,5,5,neutral
"You'll videotape everything, yeah?",5,7,disgust
"Maybe you can send it to me, like stream it, yeah?",5,6,sadness
Don't you guys have access to computers over there.,6,3,anger
Last month--  Yeah.,6,6,sadness
I just don't know how I'm going to do it without you.,6,5,neutral
I have to find sitters.,6,6,sadness
